,COREF,start_token,end_token,prop,cat,text,character_name
0,14,0,3,PROP,PER,MARLEY 'S GHOST Marley,MARLEY 'S GHOST Marley
6,20,41,41,PROP,PER,Scrooge,Mr. Ebenezer Scrooge
7,20,46,46,PROP,PER,Scrooge,Mr. Ebenezer Scrooge
8,20,56,56,PRON,PER,he,Mr. Ebenezer Scrooge
9,20,60,60,PRON,PER,his,Mr. Ebenezer Scrooge
10,16,64,65,PROP,PER,Old Marley,Old Jacob Marley
23,16,166,166,PROP,PER,Marley,Old Jacob Marley
24,20,176,176,PROP,PER,Scrooge,Mr. Ebenezer Scrooge
25,20,178,178,PRON,PER,he,Mr. Ebenezer Scrooge
26,20,184,184,PRON,PER,he,Mr. Ebenezer Scrooge
27,20,193,193,PROP,PER,Scrooge,Mr. Ebenezer Scrooge
28,20,195,195,PRON,PER,he,Mr. Ebenezer Scrooge
30,20,207,207,PROP,PER,Scrooge,Mr. Ebenezer Scrooge
31,20,209,209,PRON,PER,his,Mr. Ebenezer Scrooge
33,20,213,213,PRON,PER,his,Mr. Ebenezer Scrooge
35,20,217,217,PRON,PER,his,Mr. Ebenezer Scrooge
37,20,221,221,PRON,PER,his,Mr. Ebenezer Scrooge
39,20,226,226,PRON,PER,his,Mr. Ebenezer Scrooge
42,20,236,236,PROP,PER,Scrooge,Mr. Ebenezer Scrooge
43,20,249,249,PRON,PER,he,Mr. Ebenezer Scrooge
45,16,275,275,PROP,PER,Marley,Old Jacob Marley
48,16,293,293,PROP,PER,Marley,Old Jacob Marley
60,20,396,396,PROP,PER,Scrooge,Mr. Ebenezer Scrooge
61,16,400,401,PROP,PER,Old Marley,Old Jacob Marley
63,20,417,417,PROP,PER,Scrooge,Mr. Ebenezer Scrooge
64,16,419,419,PROP,PER,Marley,Old Jacob Marley
66,20,426,426,PROP,PER,Scrooge,Mr. Ebenezer Scrooge
67,16,428,428,PROP,PER,Marley,Old Jacob Marley
70,16,442,442,PROP,PER,Marley,Old Jacob Marley
71,20,445,445,PRON,PER,he,Mr. Ebenezer Scrooge
72,20,457,457,PRON,PER,him,Mr. Ebenezer Scrooge
73,20,462,462,PRON,PER,he,Mr. Ebenezer Scrooge
74,20,473,473,PROP,PER,Scrooge,Mr. Ebenezer Scrooge
76,20,523,523,PRON,PER,him,Mr. Ebenezer Scrooge
77,20,525,525,PRON,PER,his,Mr. Ebenezer Scrooge
78,20,530,530,PRON,PER,his,Mr. Ebenezer Scrooge
79,20,535,535,PRON,PER,his,Mr. Ebenezer Scrooge
80,20,539,539,PRON,PER,his,Mr. Ebenezer Scrooge
81,20,543,543,PRON,PER,his,Mr. Ebenezer Scrooge
82,20,547,547,PRON,PER,his,Mr. Ebenezer Scrooge
83,20,557,557,PRON,PER,his,Mr. Ebenezer Scrooge
84,20,566,566,PRON,PER,his,Mr. Ebenezer Scrooge
85,20,571,571,PRON,PER,his,Mr. Ebenezer Scrooge
86,20,575,575,PRON,PER,his,Mr. Ebenezer Scrooge
87,20,579,579,PRON,PER,He,Mr. Ebenezer Scrooge
88,20,581,581,PRON,PER,his,Mr. Ebenezer Scrooge
89,20,588,588,PRON,PER,him,Mr. Ebenezer Scrooge
90,20,590,590,PRON,PER,he,Mr. Ebenezer Scrooge
91,20,592,592,PRON,PER,his,Mr. Ebenezer Scrooge
93,20,618,618,PROP,PER,Scrooge,Mr. Ebenezer Scrooge
94,20,629,629,PRON,PER,him,Mr. Ebenezer Scrooge
95,20,638,638,PRON,PER,he,Mr. Ebenezer Scrooge
96,20,666,666,PRON,PER,him,Mr. Ebenezer Scrooge
97,20,686,686,PRON,PER,him,Mr. Ebenezer Scrooge
99,20,701,701,PROP,PER,Scrooge,Mr. Ebenezer Scrooge
101,20,708,708,PRON,PER,him,Mr. Ebenezer Scrooge
105,20,722,722,PROP,PER,Scrooge,Mr. Ebenezer Scrooge
106,20,726,726,PRON,PER,you,Mr. Ebenezer Scrooge
107,20,730,730,PRON,PER,you,Mr. Ebenezer Scrooge
110,20,740,740,PRON,PER,him,Mr. Ebenezer Scrooge
112,20,749,749,PRON,PER,him,Mr. Ebenezer Scrooge
115,20,763,763,PRON,PER,his,Mr. Ebenezer Scrooge
116,20,776,776,PROP,PER,Scrooge,Mr. Ebenezer Scrooge
118,20,787,787,PRON,PER,him,Mr. Ebenezer Scrooge
120,20,794,794,PRON,PER,him,Mr. Ebenezer Scrooge
127,20,838,838,PROP,PER,Scrooge,Mr. Ebenezer Scrooge
128,20,846,846,PRON,PER,he,Mr. Ebenezer Scrooge
129,20,851,851,PRON,PER,his,Mr. Ebenezer Scrooge
131,20,879,879,PROP,PER,Scrooge,Mr. Ebenezer Scrooge
132,20,899,900,PROP,PER,old Scrooge,Mr. Ebenezer Scrooge
133,20,904,904,PRON,PER,his,Mr. Ebenezer Scrooge
135,20,922,922,PRON,PER,he,Mr. Ebenezer Scrooge
145,20,1068,1068,PROP,PER,Scrooge,Mr. Ebenezer Scrooge
147,20,1077,1077,PRON,PER,he,Mr. Ebenezer Scrooge
148,20,1080,1080,PRON,PER,his,Mr. Ebenezer Scrooge
149,20,1083,1083,PRON,PER,his,Mr. Ebenezer Scrooge
152,20,1103,1103,PROP,PER,Scrooge,Mr. Ebenezer Scrooge
154,20,1128,1128,PRON,PER,he,Mr. Ebenezer Scrooge
155,20,1135,1135,PROP,PER,Scrooge,Mr. Ebenezer Scrooge
156,20,1142,1142,PRON,PER,his,Mr. Ebenezer Scrooge
169,20,1226,1226,PROP,PER,Scrooge,Mr. Ebenezer Scrooge
171,20,1233,1233,PRON,PER,him,Mr. Ebenezer Scrooge
172,20,1242,1242,PRON,PER,he,Mr. Ebenezer Scrooge
173,20,1245,1245,PRON,PER,his,Mr. Ebenezer Scrooge
174,20,1253,1253,PROP,PER,Scrooge,Mr. Ebenezer Scrooge
175,20,1259,1259,PRON,PER,He,Mr. Ebenezer Scrooge
176,20,1263,1263,PRON,PER,himself,Mr. Ebenezer Scrooge
178,20,1276,1276,PROP,PER,Scrooge,Mr. Ebenezer Scrooge
179,20,1280,1280,PRON,PER,he,Mr. Ebenezer Scrooge
180,20,1287,1287,PRON,PER,his,Mr. Ebenezer Scrooge
181,20,1294,1294,PRON,PER,his,Mr. Ebenezer Scrooge
182,20,1299,1299,PRON,PER,his,Mr. Ebenezer Scrooge
184,20,1313,1313,PROP,PER,Scrooge,Mr. Ebenezer Scrooge
187,20,1324,1324,PRON,PER,I,Mr. Ebenezer Scrooge
188,20,1330,1330,PRON,PER,I,Mr. Ebenezer Scrooge
189,20,1335,1335,PROP,PER,Scrooge,Mr. Ebenezer Scrooge
197,20,1397,1397,PROP,PER,Scrooge,Mr. Ebenezer Scrooge
210,20,1538,1538,PROP,PER,Scrooge,Mr. Ebenezer Scrooge
222,20,1618,1618,PROP,PER,Scrooge,Mr. Ebenezer Scrooge
225,20,1633,1633,PRON,PER,me,Mr. Ebenezer Scrooge
226,20,1642,1642,PROP,PER,Scrooge,Mr. Ebenezer Scrooge
251,20,1893,1893,PRON,PER,me,Mr. Ebenezer Scrooge
253,20,1904,1904,PROP,PER,Scrooge,Mr. Ebenezer Scrooge
261,20,1933,1933,PRON,PER,his,Mr. Ebenezer Scrooge
268,20,1965,1965,PROP,PER,Scrooge,Mr. Ebenezer Scrooge
269,20,1968,1968,PRON,PER,he,Mr. Ebenezer Scrooge
271,20,1974,1974,PRON,PER,he,Mr. Ebenezer Scrooge
272,20,1977,1977,PRON,PER,He,Mr. Ebenezer Scrooge
273,20,1989,1989,PRON,PER,he,Mr. Ebenezer Scrooge
275,20,2004,2004,PROP,PER,Scrooge,Mr. Ebenezer Scrooge
277,20,2015,2015,PRON,PER,you,Mr. Ebenezer Scrooge
278,20,2021,2021,PROP,PER,Scrooge,Mr. Ebenezer Scrooge
279,20,2025,2025,PRON,PER,I,Mr. Ebenezer Scrooge
280,20,2033,2033,PRON,PER,you,Mr. Ebenezer Scrooge
281,20,2040,2040,PROP,PER,Scrooge,Mr. Ebenezer Scrooge
285,20,2076,2076,PRON,PER,me,Mr. Ebenezer Scrooge
286,20,2099,2099,PROP,PER,Scrooge,Mr. Ebenezer Scrooge
287,20,2102,2102,PRON,PER,I,Mr. Ebenezer Scrooge
289,20,2108,2108,PRON,PER,I,Mr. Ebenezer Scrooge
293,20,2128,2128,PROP,PER,Scrooge,Mr. Ebenezer Scrooge
294,20,2131,2131,PRON,PER,I,Mr. Ebenezer Scrooge
295,20,2137,2137,PRON,PER,my,Mr. Ebenezer Scrooge
298,20,2154,2154,PRON,PER,I,Mr. Ebenezer Scrooge
300,20,2161,2161,PRON,PER,I,Mr. Ebenezer Scrooge
302,20,2172,2172,PRON,PER,I,Mr. Ebenezer Scrooge
303,20,2175,2175,PRON,PER,my,Mr. Ebenezer Scrooge
306,20,2196,2196,PROP,PER,Scrooge,Mr. Ebenezer Scrooge
