,COREF,start_token,end_token,prop,cat,text,character_name
4,112,77,79,PROP,PER,Lord Henry Wotton,Lord Henry Wotton
6,112,156,156,PRON,PER,him,Lord Henry Wotton
14,113,289,290,PROP,PER,Basil Hallward,Basil Hallward
27,113,396,396,PROP,PER,Basil,Basil Hallward
29,112,408,409,PROP,PER,Lord Henry,Lord Henry Wotton
33,112,434,434,PRON,PER,I,Lord Henry Wotton
35,112,447,447,PRON,PER,I,Lord Henry Wotton
36,112,466,466,PRON,PER,I,Lord Henry Wotton
49,112,535,536,PROP,PER,Lord Henry,Lord Henry Wotton
50,112,538,538,PRON,PER,his,Lord Henry Wotton
52,112,561,561,PRON,PER,his,Lord Henry Wotton
53,112,575,575,PRON,PER,My,Lord Henry Wotton
69,112,687,687,PRON,PER,you,Lord Henry Wotton
75,112,717,718,PROP,PER,Lord Henry,Lord Henry Wotton
76,112,720,720,PRON,PER,himself,Lord Henry Wotton
77,112,731,731,PRON,PER,I,Lord Henry Wotton
78,112,733,733,PRON,PER,you,Lord Henry Wotton
80,112,756,756,PRON,PER,my,Lord Henry Wotton
81,113,759,759,PROP,PER,Basil,Basil Hallward
82,112,761,761,PRON,PER,I,Lord Henry Wotton
83,113,765,765,PRON,PER,you,Basil Hallward
84,112,771,771,PRON,PER,I,Lord Henry Wotton
85,113,779,779,PRON,PER,you,Basil Hallward
86,113,782,782,PRON,PER,your,Basil Hallward
87,113,787,787,PRON,PER,your,Basil Hallward
90,112,815,815,PRON,PER,my,Lord Henry Wotton
92,113,817,817,PROP,PER,Basil,Basil Hallward
95,113,825,825,PRON,PER,you,Basil Hallward
96,113,831,831,PRON,PER,you,Basil Hallward
109,113,963,963,PRON,PER,Your,Basil Hallward
111,113,970,970,PRON,PER,you,Basil Hallward
112,112,974,974,PRON,PER,me,Lord Henry Wotton
113,112,981,981,PRON,PER,me,Lord Henry Wotton
114,112,986,986,PRON,PER,I,Lord Henry Wotton
120,113,1032,1032,PRON,PER,yourself,Basil Hallward
121,113,1034,1034,PROP,PER,Basil,Basil Hallward
122,113,1036,1036,PRON,PER,you,Basil Hallward
124,113,1047,1047,PRON,PER,You,Basil Hallward
126,112,1053,1053,PROP,PER,Harry,Lord Henry Wotton
133,113,1086,1086,PRON,PER,You,Basil Hallward
134,113,1088,1088,PRON,PER,your,Basil Hallward
136,113,1094,1094,PRON,PER,you,Basil Hallward
150,113,1211,1211,PRON,PER,Your,Basil Hallward
151,112,1216,1216,PROP,PER,Harry,Lord Henry Wotton
155,115,1235,1236,PROP,PER,Dorian Gray,Mr. Dorian Gray
159,115,1258,1259,PROP,PER,Dorian Gray,Mr. Dorian Gray
160,115,1263,1263,PRON,PER,his,Mr. Dorian Gray
161,112,1268,1269,PROP,PER,Lord Henry,Lord Henry Wotton
163,113,1276,1277,PROP,PER,Basil Hallward,Basil Hallward
164,115,1284,1284,PRON,PER,his,Mr. Dorian Gray
165,112,1287,1287,PRON,PER,I,Lord Henry Wotton
166,113,1295,1295,PRON,PER,you,Basil Hallward
167,112,1307,1307,PRON,PER,I,Lord Henry Wotton
168,112,1313,1313,PRON,PER,I,Lord Henry Wotton
170,112,1318,1318,PRON,PER,I,Lord Henry Wotton
174,112,1336,1336,PRON,PER,I,Lord Henry Wotton
177,112,1373,1373,PRON,PER,I,Lord Henry Wotton
179,112,1377,1377,PRON,PER,I,Lord Henry Wotton
180,112,1380,1380,PRON,PER,my,Lord Henry Wotton
182,112,1383,1383,PRON,PER,I,Lord Henry Wotton
183,112,1388,1388,PRON,PER,I,Lord Henry Wotton
184,112,1391,1391,PRON,PER,I,Lord Henry Wotton
185,112,1395,1395,PRON,PER,my,Lord Henry Wotton
186,112,1404,1404,PRON,PER,I,Lord Henry Wotton
188,112,1424,1424,PRON,PER,I,Lord Henry Wotton
189,112,1426,1426,PRON,PER,you,Lord Henry Wotton
190,112,1428,1428,PRON,PER,me,Lord Henry Wotton
191,112,1442,1443,PROP,PER,Lord Henry,Lord Henry Wotton
192,112,1450,1450,PRON,PER,my,Lord Henry Wotton
194,113,1452,1452,PROP,PER,Basil,Basil Hallward
195,113,1454,1454,PRON,PER,You,Basil Hallward
196,112,1459,1459,PRON,PER,I,Lord Henry Wotton
198,112,1483,1483,PRON,PER,I,Lord Henry Wotton
199,112,1487,1487,PRON,PER,my,Lord Henry Wotton
201,112,1492,1492,PRON,PER,my,Lord Henry Wotton
203,112,1497,1497,PRON,PER,I,Lord Henry Wotton
210,112,1537,1537,PRON,PER,My,Lord Henry Wotton
212,112,1552,1552,PRON,PER,I,Lord Henry Wotton
215,112,1564,1564,PRON,PER,I,Lord Henry Wotton
217,112,1573,1573,PRON,PER,me,Lord Henry Wotton
219,112,1583,1583,PRON,PER,I,Lord Henry Wotton
222,112,1594,1594,PRON,PER,me,Lord Henry Wotton
223,113,1598,1598,PRON,PER,I,Basil Hallward
224,113,1602,1602,PRON,PER,you,Basil Hallward
225,113,1605,1605,PRON,PER,your,Basil Hallward
226,112,1609,1609,PROP,PER,Harry,Lord Henry Wotton
227,113,1613,1614,PROP,PER,Basil Hallward,Basil Hallward
229,113,1627,1627,PRON,PER,I,Basil Hallward
230,113,1630,1630,PRON,PER,you,Basil Hallward
232,113,1640,1640,PRON,PER,you,Basil Hallward
233,113,1645,1645,PRON,PER,your,Basil Hallward
234,113,1649,1649,PRON,PER,You,Basil Hallward
236,113,1655,1655,PRON,PER,You,Basil Hallward
237,113,1663,1663,PRON,PER,you,Basil Hallward
238,113,1670,1670,PRON,PER,Your,Basil Hallward
239,112,1691,1691,PRON,PER,I,Lord Henry Wotton
240,112,1696,1697,PROP,PER,Lord Henry,Lord Henry Wotton
244,112,1752,1753,PROP,PER,Lord Henry,Lord Henry Wotton
245,112,1756,1756,PRON,PER,his,Lord Henry Wotton
246,112,1760,1760,PRON,PER,I,Lord Henry Wotton
247,112,1763,1763,PRON,PER,I,Lord Henry Wotton
248,113,1768,1768,PROP,PER,Basil,Basil Hallward
249,112,1771,1771,PRON,PER,he,Lord Henry Wotton
250,112,1777,1777,PRON,PER,I,Lord Henry Wotton
251,112,1780,1780,PRON,PER,I,Lord Henry Wotton
252,113,1783,1783,PRON,PER,your,Basil Hallward
253,112,1787,1787,PRON,PER,I,Lord Henry Wotton
254,113,1790,1790,PRON,PER,you,Basil Hallward
258,112,1822,1822,PRON,PER,I,Lord Henry Wotton
259,112,1826,1826,PROP,PER,Harry,Lord Henry Wotton
260,112,1832,1832,PRON,PER,I,Lord Henry Wotton
261,113,1835,1835,PRON,PER,you,Basil Hallward
262,112,1840,1840,PRON,PER,I,Lord Henry Wotton
263,113,1842,1842,PRON,PER,you,Basil Hallward
264,112,1846,1846,PRON,PER,me,Lord Henry Wotton
265,113,1848,1848,PRON,PER,you,Basil Hallward
266,115,1852,1853,PROP,PER,Dorian Gray,Mr. Dorian Gray
267,112,1857,1857,PRON,PER,I,Lord Henry Wotton
268,112,1865,1865,PRON,PER,I,Lord Henry Wotton
269,113,1867,1867,PRON,PER,you,Basil Hallward
270,113,1876,1876,PRON,PER,you,Basil Hallward
271,113,1880,1880,PRON,PER,You,Basil Hallward
272,113,1890,1890,PRON,PER,yourself,Basil Hallward
273,112,1902,1902,PROP,PER,Harry,Lord Henry Wotton
274,113,1906,1907,PROP,PER,Basil Hallward,Basil Hallward
283,113,1974,1974,PRON,PER,I,Basil Hallward
284,113,1982,1982,PRON,PER,I,Basil Hallward
285,113,1986,1986,PRON,PER,I,Basil Hallward
286,113,1994,1994,PRON,PER,my,Basil Hallward
287,112,1999,2000,PROP,PER,Lord Henry,Lord Henry Wotton
288,112,2010,2010,PRON,PER,he,Lord Henry Wotton
289,113,2014,2014,PRON,PER,I,Basil Hallward
290,113,2017,2017,PRON,PER,you,Basil Hallward
291,113,2021,2021,PROP,PER,Hallward,Basil Hallward
292,113,2030,2030,PRON,PER,his,Basil Hallward
294,113,2039,2039,PROP,PER,Basil,Basil Hallward
295,113,2043,2043,PRON,PER,his,Basil Hallward
297,113,2048,2048,PRON,PER,him,Basil Hallward
298,112,2061,2061,PROP,PER,Harry,Lord Henry Wotton
301,112,2073,2073,PRON,PER,you,Lord Henry Wotton
302,112,2080,2080,PRON,PER,you,Lord Henry Wotton
303,112,2087,2088,PROP,PER,Lord Henry,Lord Henry Wotton
304,112,2109,2109,PRON,PER,I,Lord Henry Wotton
305,112,2113,2113,PRON,PER,I,Lord Henry Wotton
306,112,2119,2119,PRON,PER,he,Lord Henry Wotton
307,112,2141,2141,PRON,PER,I,Lord Henry Wotton
308,112,2212,2213,PROP,PER,Lord Henry,Lord Henry Wotton
309,112,2217,2217,PRON,PER,he,Lord Henry Wotton
310,113,2220,2221,PROP,PER,Basil Hallward,Basil Hallward
313,116,2257,2258,PROP,PER,Lady Brandon,Poor Lady Brandon
315,112,2261,2261,PRON,PER,You,Lord Henry Wotton
322,112,2298,2298,PRON,PER,you,Lord Henry Wotton
334,115,2361,2362,PROP,PER,Dorian Gray,Mr. Dorian Gray
