,COREF,start_token,end_token,prop,cat,text,character_name
12,75,80,81,PROP,PER,Mr. Bennet,CHAPTER L. Mr. Bennet
18,75,105,106,PROP,PER,Mr. Bennet,CHAPTER L. Mr. Bennet
19,75,109,109,PRON,PER,he,CHAPTER L. Mr. Bennet
21,76,124,125,PROP,PER,Mrs. Long,Mrs. Long
23,76,132,132,PRON,PER,she,Mrs. Long
25,75,140,141,PROP,PER,Mr. Bennet,CHAPTER L. Mr. Bennet
30,75,172,172,PRON,PER,me,CHAPTER L. Mr. Bennet
31,75,175,175,PRON,PER,I,CHAPTER L. Mr. Bennet
32,75,192,192,PRON,PER,my,CHAPTER L. Mr. Bennet
35,76,199,200,PROP,PER,Mrs. Long,Mrs. Long
51,79,286,286,PROP,PER,Bingley,"you,--Mr . Bingley"
53,75,302,302,PRON,PER,my,CHAPTER L. Mr. Bennet
61,75,346,347,PROP,PER,Mr. Bennet,CHAPTER L. Mr. Bennet
64,75,357,357,PRON,PER,you,CHAPTER L. Mr. Bennet
65,75,362,362,PRON,PER,You,CHAPTER L. Mr. Bennet
71,75,394,394,PRON,PER,you,CHAPTER L. Mr. Bennet
74,75,418,418,PRON,PER,you,CHAPTER L. Mr. Bennet
77,75,430,430,PRON,PER,I,CHAPTER L. Mr. Bennet
78,75,437,437,PRON,PER,You,CHAPTER L. Mr. Bennet
80,75,445,445,PRON,PER,you,CHAPTER L. Mr. Bennet
83,75,461,461,PRON,PER,you,CHAPTER L. Mr. Bennet
85,79,470,471,PROP,PER,Mr. Bingley,"you,--Mr . Bingley"
86,75,474,474,PRON,PER,you,CHAPTER L. Mr. Bennet
90,75,486,486,PRON,PER,you,CHAPTER L. Mr. Bennet
102,75,557,557,PRON,PER,you,CHAPTER L. Mr. Bennet
103,79,563,564,PROP,PER,Mr. Bingley,"you,--Mr . Bingley"
104,79,566,566,PRON,PER,he,"you,--Mr . Bingley"
106,75,578,578,PRON,PER,I,CHAPTER L. Mr. Bennet
107,75,582,582,PRON,PER,I,CHAPTER L. Mr. Bennet
108,75,584,584,PRON,PER,you,CHAPTER L. Mr. Bennet
109,75,590,590,PRON,PER,your,CHAPTER L. Mr. Bennet
113,80,606,607,PROP,PER,Sir William,Sir William Lucas
114,10,609,610,PROP,PER,Lady Lucas,Lucas Lodge
115,75,625,625,PRON,PER,you,CHAPTER L. Mr. Bennet
118,75,635,635,PRON,PER,you,CHAPTER L. Mr. Bennet
120,79,650,650,PRON,PER,him,"you,--Mr . Bingley"
121,75,653,653,PRON,PER,you,CHAPTER L. Mr. Bennet
122,75,659,659,PRON,PER,You,CHAPTER L. Mr. Bennet
123,75,666,666,PRON,PER,I,CHAPTER L. Mr. Bennet
124,79,669,670,PROP,PER,Mr. Bingley,"you,--Mr . Bingley"
125,75,677,677,PRON,PER,you,CHAPTER L. Mr. Bennet
126,75,680,680,PRON,PER,I,CHAPTER L. Mr. Bennet
127,75,687,687,PRON,PER,you,CHAPTER L. Mr. Bennet
128,79,690,690,PRON,PER,him,"you,--Mr . Bingley"
129,75,692,692,PRON,PER,my,CHAPTER L. Mr. Bennet
130,79,696,696,PRON,PER,his,"you,--Mr . Bingley"
131,79,699,699,PRON,PER,he,"you,--Mr . Bingley"
133,75,706,706,PRON,PER,I,CHAPTER L. Mr. Bennet
134,75,714,714,PRON,PER,my,CHAPTER L. Mr. Bennet
136,82,716,716,PROP,PER,Lizzy,the eldest Miss Bennet
138,75,722,722,PRON,PER,you,CHAPTER L. Mr. Bennet
139,82,729,729,PROP,PER,Lizzy,the eldest Miss Bennet
141,82,743,743,PRON,PER,she,the eldest Miss Bennet
142,83,750,750,PROP,PER,Jane,"poor Jane , who would willingly have gone through the world without believing that so much wickedness existed in the whole race of mankind as was here collected in one individual"
143,84,759,759,PROP,PER,Lydia,Miss Lydia Bennet
144,75,762,762,PRON,PER,you,CHAPTER L. Mr. Bennet
145,82,767,767,PRON,PER,her,the eldest Miss Bennet
152,82,800,800,PROP,PER,Lizzy,the eldest Miss Bennet
153,82,807,807,PRON,PER,her,the eldest Miss Bennet
155,75,812,813,PROP,PER,Mr. Bennet,CHAPTER L. Mr. Bennet
156,75,817,817,PRON,PER,you,CHAPTER L. Mr. Bennet
157,75,819,819,PRON,PER,your,CHAPTER L. Mr. Bennet
159,75,827,827,PRON,PER,You,CHAPTER L. Mr. Bennet
161,75,834,834,PRON,PER,You,CHAPTER L. Mr. Bennet
163,75,845,845,PRON,PER,You,CHAPTER L. Mr. Bennet
168,75,858,858,PRON,PER,your,CHAPTER L. Mr. Bennet
173,75,870,870,PRON,PER,you,CHAPTER L. Mr. Bennet
175,75,885,885,PRON,PER,you,CHAPTER L. Mr. Bennet
178,75,898,898,PRON,PER,you,CHAPTER L. Mr. Bennet
183,75,938,938,PRON,PER,you,CHAPTER L. Mr. Bennet
189,75,966,967,PROP,PER,Mr. Bennet,CHAPTER L. Mr. Bennet
190,75,1000,1000,PRON,PER,his,CHAPTER L. Mr. Bennet
192,75,1003,1003,PRON,PER,his,CHAPTER L. Mr. Bennet
202,75,1060,1061,PROP,PER,Mr. Bennet,CHAPTER L. Mr. Bennet
204,79,1071,1072,PROP,PER,Mr. Bingley,"you,--Mr . Bingley"
205,75,1074,1074,PRON,PER,He,CHAPTER L. Mr. Bennet
206,79,1080,1080,PRON,PER,him,"you,--Mr . Bingley"
207,75,1088,1088,PRON,PER,his,CHAPTER L. Mr. Bennet
209,75,1091,1091,PRON,PER,he,CHAPTER L. Mr. Bennet
211,75,1122,1122,PRON,PER,his,CHAPTER L. Mr. Bennet
213,75,1131,1131,PRON,PER,he,CHAPTER L. Mr. Bennet
215,75,1137,1137,PRON,PER,I,CHAPTER L. Mr. Bennet
216,79,1139,1140,PROP,PER,Mr. Bingley,"you,--Mr . Bingley"
217,82,1145,1145,PROP,PER,Lizzy,the eldest Miss Bennet
219,79,1160,1161,PROP,PER,Mr. Bingley,"you,--Mr . Bingley"
225,82,1189,1189,PROP,PER,Elizabeth,the eldest Miss Bennet
227,79,1196,1196,PRON,PER,him,"you,--Mr . Bingley"
229,76,1203,1204,PROP,PER,Mrs. Long,Mrs. Long
230,79,1209,1209,PRON,PER,him,"you,--Mr . Bingley"
231,85,1213,1213,PRON,PER,I,Mrs. Bennet
232,76,1217,1218,PROP,PER,Mrs. Long,Mrs. Long
233,76,1225,1225,PRON,PER,She,Mrs. Long
235,76,1230,1230,PRON,PER,her,Mrs. Long
236,76,1233,1233,PRON,PER,She,Mrs. Long
238,85,1242,1242,PRON,PER,I,Mrs. Bennet
239,76,1247,1247,PRON,PER,her,Mrs. Long
240,75,1254,1254,PRON,PER,I,CHAPTER L. Mr. Bennet
241,75,1258,1259,PROP,PER,Mr. Bennet,CHAPTER L. Mr. Bennet
242,75,1263,1263,PRON,PER,I,CHAPTER L. Mr. Bennet
244,76,1274,1274,PRON,PER,her,Mrs. Long
246,85,1279,1280,PROP,PER,Mrs. Bennet,Mrs. Bennet
247,85,1293,1293,PRON,PER,herself,Mrs. Bennet
249,85,1299,1299,PRON,PER,her,Mrs. Bennet
251,86,1309,1309,PROP,PER,Kitty,Lady Catherine de Bourgh
252,85,1321,1321,PRON,PER,my,Mrs. Bennet
255,86,1332,1332,PROP,PER,Kitty,Lady Catherine de Bourgh
256,86,1337,1337,PRON,PER,her,Lady Catherine de Bourgh
259,86,1346,1346,PRON,PER,she,Lady Catherine de Bourgh
261,86,1353,1353,PRON,PER,I,Lady Catherine de Bourgh
262,86,1358,1358,PRON,PER,my,Lady Catherine de Bourgh
263,86,1364,1364,PROP,PER,Kitty,Lady Catherine de Bourgh
265,82,1377,1377,PROP,PER,Lizzy,the eldest Miss Bennet
268,76,1401,1402,PROP,PER,Mrs. Long,Mrs. Long
269,76,1419,1419,PRON,PER,her,Mrs. Long
271,76,1425,1425,PRON,PER,she,Mrs. Long
273,76,1430,1430,PRON,PER,herself,Mrs. Long
274,85,1436,1436,PRON,PER,my,Mrs. Bennet
279,79,1450,1451,PROP,PER,Mr. Bingley,"you,--Mr . Bingley"
281,75,1461,1462,PROP,PER,Mr. Bennet,CHAPTER L. Mr. Bennet
285,75,1477,1477,PRON,PER,you,CHAPTER L. Mr. Bennet
286,85,1484,1484,PRON,PER,I,Mrs. Bennet
287,75,1486,1486,PRON,PER,your,CHAPTER L. Mr. Bennet
292,76,1531,1532,PROP,PER,Mrs. Long,Mrs. Long
293,76,1534,1534,PRON,PER,her,Mrs. Long
296,76,1546,1546,PRON,PER,she,Mrs. Long
297,75,1556,1556,PRON,PER,you,CHAPTER L. Mr. Bennet
299,85,1561,1561,PRON,PER,I,Mrs. Bennet
300,85,1566,1566,PRON,PER,myself,Mrs. Bennet
304,85,1576,1577,PROP,PER,Mrs. Bennet,Mrs. Bennet
306,75,1604,1604,PRON,PER,you,CHAPTER L. Mr. Bennet
308,75,1629,1629,PRON,PER,you,CHAPTER L. Mr. Bennet
309,75,1636,1636,PRON,PER,you,CHAPTER L. Mr. Bennet
310,87,1638,1638,PROP,PER,Mary,Mary King
311,75,1641,1641,PRON,PER,you,CHAPTER L. Mr. Bennet
314,87,1663,1663,PROP,PER,Mary,Mary King
315,87,1678,1678,PROP,PER,Mary,Mary King
316,87,1681,1681,PRON,PER,her,Mary King
319,79,1693,1694,PROP,PER,Mr. Bingley,"you,--Mr . Bingley"
321,79,1702,1703,PROP,PER,Mr. Bingley,"you,--Mr . Bingley"
329,79,1746,1746,PRON,PER,him,"you,--Mr . Bingley"
334,85,1784,1785,PROP,PER,Mrs. Bennet,Mrs. Bennet
340,75,1826,1827,PROP,PER,Mr. Bennet,CHAPTER L. Mr. Bennet
350,86,1893,1893,PROP,PER,Kitty,Lady Catherine de Bourgh
351,86,1895,1895,PRON,PER,you,Lady Catherine de Bourgh
352,86,1901,1901,PRON,PER,you,Lady Catherine de Bourgh
353,75,1906,1907,PROP,PER,Mr. Bennet,CHAPTER L. Mr. Bennet
354,75,1912,1912,PRON,PER,he,CHAPTER L. Mr. Bennet
355,75,1915,1915,PRON,PER,he,CHAPTER L. Mr. Bennet
357,75,1925,1925,PRON,PER,his,CHAPTER L. Mr. Bennet
365,75,1958,1958,PRON,PER,him,CHAPTER L. Mr. Bennet
366,75,1961,1961,PRON,PER,his,CHAPTER L. Mr. Bennet
374,84,2006,2006,PROP,PER,Lydia,Miss Lydia Bennet
377,84,2012,2012,PRON,PER,you,Miss Lydia Bennet
379,79,2022,2023,PROP,PER,Mr. Bingley,"you,--Mr . Bingley"
380,84,2027,2027,PRON,PER,you,Miss Lydia Bennet
381,84,2039,2039,PROP,PER,Lydia,Miss Lydia Bennet
382,84,2044,2044,PRON,PER,I,Miss Lydia Bennet
383,84,2051,2051,PRON,PER,I,Miss Lydia Bennet
384,84,2058,2058,PRON,PER,I,Miss Lydia Bennet
387,75,2078,2079,PROP,PER,Mr. Bennet,CHAPTER L. Mr. Bennet
390,85,2096,2097,PROP,PER,Mrs. Bennet,Mrs. Bennet
391,85,2105,2105,PRON,PER,her,Mrs. Bennet
393,85,2120,2120,PRON,PER,her,Mrs. Bennet
395,79,2126,2127,PROP,PER,Mr. Bingley,"you,--Mr . Bingley"
397,79,2131,2131,PRON,PER,him,"you,--Mr . Bingley"
398,79,2148,2148,PRON,PER,he,"you,--Mr . Bingley"
403,10,2173,2174,PROP,PER,Lady Lucas,Lucas Lodge
404,85,2176,2176,PRON,PER,Her,Mrs. Bennet
405,80,2182,2183,PROP,PER,Sir William,Sir William Lucas
406,79,2188,2188,PRON,PER,him,"you,--Mr . Bingley"
407,79,2190,2190,PRON,PER,He,"you,--Mr . Bingley"
408,79,2208,2208,PRON,PER,he,"you,--Mr . Bingley"
410,79,2246,2247,PROP,PER,Mr. Bingley,"you,--Mr . Bingley"
411,85,2255,2255,PRON,PER,I,Mrs. Bennet
413,85,2261,2261,PRON,PER,my,Mrs. Bennet
416,85,2270,2271,PROP,PER,Mrs. Bennet,Mrs. Bennet
417,85,2273,2273,PRON,PER,her,Mrs. Bennet
419,85,2285,2285,PRON,PER,I,Mrs. Bennet
420,79,2298,2299,PROP,PER,Mr. Bingley,"you,--Mr . Bingley"
421,75,2301,2302,PROP,PER,Mr. Bennet,CHAPTER L. Mr. Bennet
422,75,2312,2312,PRON,PER,him,CHAPTER L. Mr. Bennet
423,75,2314,2314,PRON,PER,his,CHAPTER L. Mr. Bennet
425,79,2317,2317,PRON,PER,He,"you,--Mr . Bingley"
427,79,2335,2335,PRON,PER,he,"you,--Mr . Bingley"
428,79,2341,2341,PRON,PER,he,"you,--Mr . Bingley"
433,85,2391,2392,PROP,PER,Mrs. Bennet,Mrs. Bennet
434,85,2402,2402,PRON,PER,her,Mrs. Bennet
436,79,2414,2415,PROP,PER,Mr. Bingley,"you,--Mr . Bingley"
439,85,2439,2440,PROP,PER,Mrs. Bennet,Mrs. Bennet
440,85,2445,2445,PRON,PER,She,Mrs. Bennet
441,79,2451,2451,PRON,PER,he,"you,--Mr . Bingley"
443,79,2459,2459,PRON,PER,his,"you,--Mr . Bingley"
445,85,2465,2465,PRON,PER,she,Mrs. Bennet
446,79,2470,2470,PRON,PER,he,"you,--Mr . Bingley"
449,79,2488,2488,PRON,PER,he,"you,--Mr . Bingley"
450,10,2493,2494,PROP,PER,Lady Lucas,Lucas Lodge
451,10,2496,2496,PRON,PER,her,Lucas Lodge
452,79,2505,2505,PRON,PER,his,"you,--Mr . Bingley"
454,79,2526,2527,PROP,PER,Mr. Bingley,"you,--Mr . Bingley"
457,79,2537,2537,PRON,PER,him,"you,--Mr . Bingley"
461,79,2568,2568,PRON,PER,he,"you,--Mr . Bingley"
462,79,2574,2574,PRON,PER,him,"you,--Mr . Bingley"
464,79,2578,2578,PRON,PER,his,"you,--Mr . Bingley"
470,79,2602,2603,PROP,PER,Mr. Bingley,"you,--Mr . Bingley"
471,79,2605,2605,PRON,PER,his,"you,--Mr . Bingley"
476,79,2620,2621,PROP,PER,Mr. Bingley,"you,--Mr . Bingley"
477,79,2629,2629,PRON,PER,he,"you,--Mr . Bingley"
478,79,2641,2641,PRON,PER,His,"you,--Mr . Bingley"
481,79,2654,2654,PRON,PER,His,"you,--Mr . Bingley"
483,88,2661,2662,PROP,PER,Mr. Hurst,Mr. Hurst
485,79,2670,2670,PRON,PER,his,"you,--Mr . Bingley"
487,89,2672,2673,PROP,PER,Mr. Darcy,that disagreeable Mr. Darcy
489,89,2682,2682,PRON,PER,his,that disagreeable Mr. Darcy
