,COREF,start_token,end_token,prop,cat,text,character_name
48,32,533,534,PROP,PER,Silas Marner,"father Silas , who had taken her golden curls for his lost guineas brought back to him"
49,32,538,538,PRON,PER,his,"father Silas , who had taken her golden curls for his lost guineas brought back to him"
55,32,573,573,PROP,PER,Silas,"father Silas , who had taken her golden curls for his lost guineas brought back to him"
61,32,675,675,PROP,PER,Marner,"father Silas , who had taken her golden curls for his lost guineas brought back to him"
62,32,683,683,PRON,PER,his,"father Silas , who had taken her golden curls for his lost guineas brought back to him"
64,32,698,698,PRON,PER,his,"father Silas , who had taken her golden curls for his lost guineas brought back to him"
65,32,701,701,PRON,PER,he,"father Silas , who had taken her golden curls for his lost guineas brought back to him"
67,32,708,708,PRON,PER,he,"father Silas , who had taken her golden curls for his lost guineas brought back to him"
68,32,712,712,PRON,PER,his,"father Silas , who had taken her golden curls for his lost guineas brought back to him"
72,32,755,756,PROP,PER,Silas Marner,"father Silas , who had taken her golden curls for his lost guineas brought back to him"
80,32,813,814,PROP,PER,Silas Marner,"father Silas , who had taken her golden curls for his lost guineas brought back to him"
82,32,821,821,PRON,PER,he,"father Silas , who had taken her golden curls for his lost guineas brought back to him"
84,32,844,844,PRON,PER,he,"father Silas , who had taken her golden curls for his lost guineas brought back to him"
137,32,1371,1372,PROP,PER,Silas Marner,"father Silas , who had taken her golden curls for his lost guineas brought back to him"
139,32,1379,1379,PRON,PER,he,"father Silas , who had taken her golden curls for his lost guineas brought back to him"
143,32,1417,1417,PRON,PER,he,"father Silas , who had taken her golden curls for his lost guineas brought back to him"
144,32,1433,1433,PRON,PER,his,"father Silas , who had taken her golden curls for his lost guineas brought back to him"
145,32,1437,1437,PRON,PER,his,"father Silas , who had taken her golden curls for his lost guineas brought back to him"
148,32,1450,1450,PRON,PER,his,"father Silas , who had taken her golden curls for his lost guineas brought back to him"
150,32,1460,1460,PRON,PER,his,"father Silas , who had taken her golden curls for his lost guineas brought back to him"
151,32,1466,1466,PRON,PER,he,"father Silas , who had taken her golden curls for his lost guineas brought back to him"
155,32,1488,1488,PRON,PER,he,"father Silas , who had taken her golden curls for his lost guineas brought back to him"
158,32,1500,1500,PRON,PER,his,"father Silas , who had taken her golden curls for his lost guineas brought back to him"
159,32,1508,1508,PRON,PER,himself,"father Silas , who had taken her golden curls for his lost guineas brought back to him"
161,32,1522,1522,PRON,PER,he,"father Silas , who had taken her golden curls for his lost guineas brought back to him"
163,32,1531,1531,PRON,PER,him,"father Silas , who had taken her golden curls for his lost guineas brought back to him"
165,32,1539,1539,PRON,PER,he,"father Silas , who had taken her golden curls for his lost guineas brought back to him"
169,32,1560,1560,PROP,PER,Marner,"father Silas , who had taken her golden curls for his lost guineas brought back to him"
170,32,1569,1569,PRON,PER,his,"father Silas , who had taken her golden curls for his lost guineas brought back to him"
171,34,1577,1578,PROP,PER,Jem Rodney,Jem Rodney
173,34,1590,1590,PRON,PER,he,Jem Rodney
175,34,1595,1595,PRON,PER,he,Jem Rodney
176,32,1597,1598,PROP,PER,Silas Marner,"father Silas , who had taken her golden curls for his lost guineas brought back to him"
177,32,1608,1608,PRON,PER,his,"father Silas , who had taken her golden curls for his lost guineas brought back to him"
180,32,1636,1636,PRON,PER,him,"father Silas , who had taken her golden curls for his lost guineas brought back to him"
181,34,1638,1638,PRON,PER,he,Jem Rodney
182,32,1641,1641,PROP,PER,Marner,"father Silas , who had taken her golden curls for his lost guineas brought back to him"
184,32,1653,1653,PRON,PER,he,"father Silas , who had taken her golden curls for his lost guineas brought back to him"
185,32,1656,1656,PRON,PER,him,"father Silas , who had taken her golden curls for his lost guineas brought back to him"
186,32,1660,1660,PRON,PER,him,"father Silas , who had taken her golden curls for his lost guineas brought back to him"
187,32,1663,1663,PRON,PER,his,"father Silas , who had taken her golden curls for his lost guineas brought back to him"
188,32,1669,1669,PRON,PER,his,"father Silas , who had taken her golden curls for his lost guineas brought back to him"
189,32,1686,1686,PRON,PER,he,"father Silas , who had taken her golden curls for his lost guineas brought back to him"
190,32,1690,1690,PRON,PER,his,"father Silas , who had taken her golden curls for his lost guineas brought back to him"
192,32,1698,1698,PRON,PER,he,"father Silas , who had taken her golden curls for his lost guineas brought back to him"
194,34,1732,1732,PROP,PER,Jem,Jem Rodney
195,34,1734,1734,PRON,PER,he,Jem Rodney
196,32,1747,1747,PRON,PER,he,"father Silas , who had taken her golden curls for his lost guineas brought back to him"
197,35,1754,1755,PROP,PER,Squire Cass,old Squire Cass
